Gene,avg_logFC,pct.1,pct.2,p_val_adj
Ly6d,3.115441263,0.955,0.606,0
Gpx3,3.074036979,0.93,0.54,0
Ptn,2.936254317,0.997,0.801,0
Cited1,2.565996565,0.956,0.624,0
Stc2,2.549542813,0.955,0.487,0
Areg,2.395915752,0.879,0.535,0
Wfdc2,2.21697842,0.965,0.506,0
Prlr,2.213102756,0.967,0.427,0
Fgg,2.201547377,0.845,0.604,0
Tmed3,2.138363543,0.967,0.777,0
Fgb,2.071249139,0.71,0.42,0
Glul,1.923644773,0.903,0.621,0
Krt7,1.879582323,0.97,0.503,0
Cdo1,1.819660876,0.895,0.497,0
Ly6a,1.636523883,0.789,0.32,0
Tspan13,1.631692885,0.88,0.455,0
Cxcl15,1.600773378,0.808,0.297,0
Gipc2,1.544005292,0.87,0.432,0
Cldn10,1.506263162,0.911,0.609,0
Krt19,1.499826512,0.999,0.789,0
AW112010,1.465414086,0.779,0.254,0
Tmem56,1.4431859,0.842,0.28,0
Tspan1,1.421163139,0.834,0.273,0
Phyh,1.418588631,0.873,0.675,0
Hist1h2bc,1.373969165,0.857,0.41,0
Fam25c,1.371546711,0.755,0.297,0
Tph1,1.320100514,0.698,0.366,0
Fam69a,1.313374675,0.857,0.51,0
Tmem158,1.302661737,0.82,0.489,0
Nupr1,1.277808122,0.787,0.599,0
Capsl,1.269569852,0.792,0.553,0
Dnajc12,1.259558479,0.81,0.345,0
Gadd45g,1.258873405,0.889,0.717,0
Psmb8,1.251779324,0.937,0.682,0
S100a6,1.234889811,0.952,0.73,0
Cystm1,1.224361624,0.946,0.684,0
Arg1,1.21504057,0.775,0.303,0
Upk3a,1.20665276,0.627,0.336,0
Fxyd2,1.203246064,0.466,0.098,0
Cd164,1.17584596,0.875,0.409,0
Aqp5,1.143466433,0.805,0.579,0
Arg2,1.143088818,0.826,0.432,0
Klf2,1.133964615,0.86,0.731,0
Il33,1.11155593,0.701,0.369,0
Nek7,1.094497185,0.83,0.412,0
F3,1.093183478,0.823,0.683,0
Plac8,1.08763821,0.709,0.307,0
Tmsb4x,1.08632498,0.996,0.965,0
Tgm2,1.071271881,0.724,0.413,0
Cldn4,1.071240123,0.926,0.661,0
Crym,1.050918107,0.739,0.29,0
Ido1,1.044380937,0.453,0.133,0
Krt18,1.032279142,1,0.895,0
Tmprss2,1.007218122,0.76,0.282,0
Lgals3,0.987782653,0.825,0.59,0
Crip1,0.973535907,0.85,0.593,0
Slc12a2,0.972847982,0.754,0.263,0
Sprr1a,0.953358738,0.411,0.125,0
Col8a1,0.940867164,0.687,0.291,0
Cd24a,0.923970886,0.94,0.818,0
Id3,0.921380876,0.805,0.649,0
Cd82,0.921203837,0.857,0.571,0
R3hdml,0.884934143,0.732,0.222,0
Cxcl17,0.861150831,0.715,0.178,0
Acot1,0.854972914,0.902,0.802,0
Clca3a2,0.852156935,0.628,0.625,5.58E-221
Fuca1,0.830306211,0.777,0.628,0
Hist1h1c,0.823888072,0.611,0.337,0
Krt8,0.809615279,0.998,0.922,0
Iigp1,0.809466676,0.733,0.471,0
Dkkl1,0.791839006,0.73,0.384,0
Tap2,0.789907163,0.792,0.491,0
Sox9,0.788279844,0.818,0.583,0
Gsr,0.782478665,0.749,0.488,0
Mboat1,0.780795911,0.68,0.249,0
Cd164l2,0.768424071,0.702,0.327,0
H1f0,0.767500077,0.777,0.589,0
Tmem176a,0.756600513,0.921,0.822,0
Anxa1,0.736256564,0.947,0.852,0
Fam43a,0.726178337,0.59,0.437,0
Tmem86a,0.724073768,0.496,0.36,0
Aoc1,0.723743914,0.438,0.086,0
Hmgcs2,0.715758312,0.678,0.223,0
Gpsm3,0.705753557,0.631,0.428,0
Mtmr7,0.695015402,0.551,0.316,0
Ktn1,0.685185196,0.781,0.505,0
B2m,0.681727901,0.968,0.909,0
Dcn,0.673205535,0.638,0.443,0
Slc5a5,0.667494367,0.487,0.142,0
Gadd45a,0.658824945,0.688,0.506,0
Slc5a6,0.650650735,0.616,0.448,0
Agps,0.640184433,0.592,0.261,0
Pnrc1,0.632331519,0.949,0.852,0
Avpi1,0.629419778,0.678,0.378,0
Vmp1,0.625548258,0.791,0.653,0
Pir,0.624154933,0.639,0.39,0
Psmb9,0.615276864,0.733,0.496,0
Cyp3a57,0.61505124,0.566,0.087,0
Prom1,0.604320523,0.53,0.257,0
Col6a3,0.592846793,0.617,0.263,0
Gng12,0.587383498,0.711,0.523,0
Tacstd2,0.57835253,0.803,0.471,0
Chchd10,0.575009435,0.741,0.585,0
Slc7a2,0.574885868,0.509,0.232,0
Man1a,0.574675262,0.673,0.313,0
Msx2,0.565165799,0.575,0.15,0
Gdpd1,0.561061583,0.694,0.241,0
Gm4951,0.558165917,0.658,0.142,0
Ly6e,0.551604255,0.987,0.947,0
Hdac11,0.546999714,0.6,0.313,0
Fgfr2,0.543774558,0.594,0.341,0
Agtr1a,0.539752663,0.504,0.225,0
Alcam,0.530953815,0.565,0.21,0
Cldn6,0.530082483,0.689,0.249,0
Wnt5a,0.52812524,0.533,0.278,0
Vill,0.527032363,0.535,0.314,0
Cthrc1,0.518575582,0.716,0.401,0
Ctnnbl1,0.51146297,0.669,0.634,0
Prr15l,0.503835703,0.689,0.269,0
Enho,0.502937835,0.518,0.351,0
Anxa3,0.48722419,0.73,0.6,0
Tuba8,0.484214085,0.602,0.188,0
Ang5,0.482820662,0.664,0.139,0
Podxl,0.477652928,0.558,0.193,0
Got1,0.46948897,0.62,0.457,0
2610305D13Rik,0.467754709,0.639,0.155,0
Bcl2l14,0.466772044,0.573,0.243,0
Tmem159,0.464614177,0.701,0.518,0
Hba-a1,0.457695736,0.576,0.23,0
Tmem54,0.457050164,0.616,0.319,0
Phgdh,0.451684665,0.751,0.432,0
Zbtb8a,0.450980632,0.646,0.325,0
Krt6a,0.448399507,0.34,0.191,7.41E-40
Mlph,0.445982356,0.474,0.238,0
Arl6ip1,0.443484487,0.81,0.613,0
Dgki,0.441246159,0.557,0.178,0
Smagp,0.440348023,0.635,0.557,0
Dgat2,0.437488661,0.578,0.456,0
Ang4,0.435946487,0.659,0.221,0
Lmo7,0.434119153,0.468,0.188,0
Adam10,0.433494589,0.525,0.235,0
Wfdc12,0.433343558,0.305,0.199,3.05E-57
Rasd1,0.428678088,0.636,0.486,0
Alg14,0.428350787,0.663,0.564,0
H2-K1,0.423801547,0.96,0.905,0
Trp53inp1,0.422111385,0.484,0.319,0
Reg3g,0.409428546,0.483,0.076,0
Pdlim2,0.407133887,0.507,0.342,0
Ly6k,0.404188657,0.612,0.525,0
Cdk19,0.402243774,0.479,0.196,0
Clip4,0.401298833,0.429,0.321,1.68E-107
S100a14,0.400775826,0.449,0.43,4.69E-63
Foxa1,0.398115676,0.418,0.147,9.39E-294
Tead2,0.397058279,0.63,0.646,1.71E-238
Cib1,0.382152558,0.732,0.578,0
Abcc3,0.381032524,0.527,0.199,0
Cd320,0.380762992,0.636,0.594,0
Cysrt1,0.379099932,0.424,0.156,2.09E-304
Lasp1,0.374430788,0.499,0.383,0
Folr2,0.373100468,0.381,0.147,1.73E-51
Cldn3,0.373042616,0.951,0.742,0
Bik,0.372783292,0.526,0.409,3.27E-248
Gclc,0.366978588,0.452,0.203,0
Cd200,0.365087789,0.678,0.687,2.39E-255
Bst2,0.36191572,0.519,0.315,0
Gm26532,0.360170662,0.647,0.572,0
Fam174b,0.358654093,0.463,0.341,2.13E-80
Sprr2a3,0.353336896,0.531,0.12,0
Itih2,0.351860007,0.651,0.137,0
Pgr,0.350164097,0.466,0.18,0
Qsox1,0.348393351,0.536,0.344,0
Rasgrf1,0.341967966,0.42,0.151,0
Acsbg1,0.341452559,0.438,0.187,3.25E-257
Emp1,0.338772046,0.585,0.394,0
Kif5c,0.336378571,0.409,0.291,2.47E-139
Rbm20,0.331278428,0.437,0.161,0
Nrxn3,0.329622563,0.378,0.142,1.52E-73
Ecm1,0.325129895,0.643,0.581,0
Dhrs3,0.323263236,0.552,0.325,0
Plk2,0.320107097,0.695,0.623,1.23E-249
Hist1h4i,0.317537401,0.447,0.269,0
Cldn7,0.316006526,0.893,0.662,0
Piezo2,0.315046347,0.382,0.103,0
Hes1,0.311362315,0.82,0.791,2.85E-264
Jun,0.307685057,0.939,0.907,1.90E-188
Sgms2,0.306985823,0.458,0.234,0
Prom2,0.304786208,0.365,0.276,1.62E-91
Grb14,0.303727686,0.596,0.35,0
Epcam,0.303127094,0.995,0.948,0
Gclm,0.294717668,0.761,0.64,0
Kank3,0.293121587,0.47,0.484,5.28E-96
Cisd3,0.288788828,0.473,0.363,7.38E-283
Wnt4,0.285118416,0.354,0.168,3.45E-207
Tox2,0.283955049,0.419,0.165,0
Gsn,0.281198218,0.847,0.686,0
BC030870,0.279293027,0.524,0.09,0
Ecscr,0.277994619,0.683,0.391,0
Fam84a,0.275716639,0.336,0.307,2.89E-07
Manba,0.271376729,0.327,0.258,0.000280233
Atf3,0.271029892,0.897,0.85,4.12E-155
Inppl1,0.270764985,0.408,0.442,2.34E-14
Gata3,0.269840622,0.573,0.457,1.08E-218
AI413582,0.269757382,0.372,0.51,3.11E-42
Anxa2,0.269481572,0.931,0.866,0
Krt4,0.269081259,0.405,0.085,0
Nipal1,0.265009764,0.374,0.129,1.20E-251
Batf,0.259955511,0.613,0.519,0
Aqp3,0.253824371,0.37,0.315,9.91E-73
Gale,0.252090965,0.476,0.268,0
Hs3st6,0.251825137,0.386,0.332,1.16E-33
Wnt7b,0.251436728,0.368,0.323,6.81E-19
Rab27b,0.251116053,0.383,0.257,1.10E-220
Ube2q2,0.250898013,0.397,0.259,6.81E-191
Ffar4,0.250769395,0.423,0.119,0
Ctsr,0.250338183,0.39,0.041,0
