Gene,avg_logFC,pct.1,pct.2,p_val_adj
Spp1,3.683651631,0.927,0.676,0
Trf,3.384920306,0.999,0.669,0
Lalba,3.135188143,0.891,0.513,0
Csn1s2a,2.8470849,0.713,0.573,0
Csn3,2.628713062,0.973,0.403,0
Csn2,2.594041155,0.688,0.537,0
Plet1,2.564579709,0.989,0.646,0
Ltf,2.544069097,0.798,0.291,0
Cst3,2.53768346,0.981,0.762,0
Cd14,2.276130929,0.927,0.442,0
Cxcl2,2.241781941,0.7,0.291,0
Lrg1,2.161153366,0.861,0.457,0
Cxcl1,2.129621233,0.812,0.427,0
Csn1s1,2.122999483,0.78,0.445,0
Mfge8,2.091111421,0.992,0.74,0
Wfdc18,1.95471276,0.879,0.378,0
Lcn2,1.797483381,0.995,0.682,0
Mgst1,1.781472762,0.998,0.846,0
Csf3,1.634061327,0.63,0.353,0
Slc28a3,1.542118347,0.795,0.222,0
Apod,1.501389852,0.639,0.266,0
Cck,1.46250199,0.691,0.224,0
Plin2,1.426262356,0.866,0.592,0
Cd81,1.396812919,0.998,0.918,0
Fcgbp,1.377928922,0.754,0.329,0
Aldoc,1.376023659,0.901,0.633,0
Efhd2,1.33458553,0.906,0.605,0
Itm2b,1.276478675,1,0.988,0
Folr1,1.226487571,0.812,0.393,0
Btn1a1,1.190877369,0.733,0.2,0
Atp6v1b1,1.17634822,0.828,0.373,0
Ppp1r2,1.160759601,0.916,0.692,0
Igfbp5,1.148806461,0.955,0.623,0
Lipa,1.144945398,0.787,0.334,0
Elf5,1.110925921,0.805,0.344,0
Ifrd1,1.104198036,0.886,0.714,0
Clu,1.087372498,0.948,0.674,0
Ctsh,1.076880756,0.875,0.575,0
Tspan8,1.069066282,0.792,0.409,0
Hp,1.024002195,0.652,0.525,0
Nfkbia,1.006872746,0.929,0.803,0
Bglap3,0.996613852,0.645,0.193,0
Muc15,0.991601364,0.73,0.22,0
Ier5,0.972122382,0.912,0.739,0
Plb1,0.970281487,0.704,0.306,0
Phlda1,0.95983815,0.895,0.689,0
Dusp5,0.931710107,0.803,0.561,0
Cyr61,0.909898255,0.849,0.711,0
Rhov,0.908685247,0.816,0.503,0
Klf6,0.904028823,0.958,0.852,0
Lbp,0.903003342,0.766,0.343,0
Aldh1a3,0.901570158,0.546,0.152,0
Cyb5a,0.893173427,0.835,0.712,0
Car2,0.891348605,0.68,0.218,0
Cp,0.888379296,0.753,0.446,0
Txnip,0.865617804,0.732,0.392,0
Coq10b,0.859294927,0.839,0.677,0
Lurap1l,0.840602424,0.714,0.491,0
Clic6,0.836073576,0.693,0.301,0
Cldn3,0.830951835,0.962,0.758,0
Scd1,0.816411708,0.535,0.27,0
Tubb2a,0.811508419,0.839,0.653,0
Plscr2,0.807038184,0.729,0.337,0
Dbi,0.793273743,0.902,0.714,0
Gm13889,0.788993499,0.622,0.386,0
Wisp2,0.776501583,0.728,0.409,0
Wfdc3,0.766189185,0.609,0.247,0
Epcam,0.763988994,0.994,0.953,0
Slc25a33,0.735696278,0.749,0.538,0
Lao1,0.73482512,0.644,0.106,0
Serinc3,0.728395135,0.869,0.658,0
C530043A13Rik,0.727462096,0.728,0.394,0
Ier3,0.72612813,0.916,0.783,0
Sepp1,0.722019471,0.824,0.572,0
Chka,0.719333469,0.773,0.543,0
Ramp1,0.715456956,0.732,0.589,0
Ehf,0.714968468,0.607,0.229,0
Cldn7,0.703182871,0.895,0.683,0
Ceacam1,0.691412167,0.605,0.339,0
Zfp36l2,0.688126131,0.877,0.735,0
Crabp2,0.68664934,0.718,0.539,0
Smpdl3a,0.684493087,0.735,0.467,0
Cbr2,0.680238937,0.72,0.372,0
Dcxr,0.679570682,0.72,0.452,0
Dmkn,0.672676351,0.556,0.309,0
Ptges,0.670653425,0.62,0.443,0
Arrdc4,0.669458561,0.638,0.36,0
Trim46,0.656458598,0.707,0.274,0
Gde1,0.649653478,0.835,0.708,0
1810011O10Rik,0.648132001,0.758,0.561,0
Chil1,0.641040658,0.748,0.51,0
Wnt5b,0.640635047,0.617,0.326,0
Hexb,0.637973532,0.733,0.612,0
Hey1,0.6374675,0.693,0.304,0
Tsc22d3,0.625710504,0.731,0.54,0
Tob1,0.602412397,0.818,0.713,0
Xbp1,0.599828879,0.859,0.796,0
Ceacam10,0.59906555,0.679,0.226,0
Zc3h12a,0.596289349,0.677,0.408,0
Spns3,0.592769393,0.688,0.225,0
Klk10,0.588943197,0.585,0.227,0
Kcnn4,0.582846737,0.582,0.165,0
Gch1,0.571423476,0.637,0.344,0
Tgfb3,0.56824278,0.686,0.466,0
Errfi1,0.549408504,0.914,0.781,0
Krt18,0.542301023,0.999,0.905,0
Ndrg1,0.539257251,0.6,0.432,0
Id1,0.537492407,0.671,0.564,0
Gm2a,0.528614436,0.596,0.321,0
Pgp,0.521652049,0.728,0.538,0
Rftn1,0.519524586,0.657,0.216,0
Ogfrl1,0.517206345,0.533,0.21,0
Fam110a,0.510736204,0.807,0.737,0
Scnn1b,0.499371925,0.673,0.234,0
Sqstm1,0.49600778,0.775,0.686,0
Slc39a14,0.491366476,0.574,0.308,0
Barx2,0.48615873,0.532,0.327,0
Muc1,0.483770737,0.465,0.182,0
Irx3,0.483590693,0.616,0.45,0
Cpe,0.483054273,0.644,0.178,0
Cmas,0.47254109,0.608,0.461,0
Krt8,0.460475761,0.99,0.932,0
Rora,0.460309584,0.53,0.276,0
Arhgef6,0.456983549,0.538,0.241,0
Crem,0.45285491,0.571,0.393,0
Tm4sf1,0.450136601,0.856,0.759,0
Prdx4,0.447211701,0.815,0.759,0
Ctsc,0.446030638,0.692,0.609,0
Fam3c,0.43600525,0.793,0.644,0
Col9a1,0.418943835,0.683,0.402,0
Cd55,0.411612907,0.505,0.294,0
Plscr1,0.410923922,0.741,0.624,0
Jund,0.410373787,0.941,0.906,0
C3,0.405601022,0.482,0.326,0
Ccrl2,0.401690687,0.51,0.286,0
Trib1,0.400728176,0.762,0.619,0
Edn1,0.396693887,0.479,0.171,0
Atp1b1,0.396390588,0.558,0.369,0
Cel,0.396010665,0.513,0.159,0
Trps1,0.395278863,0.701,0.527,0
Usp2,0.392704212,0.63,0.338,0
Trim47,0.391173201,0.573,0.417,0
Foxi1,0.390559583,0.666,0.143,0
Slc1a1,0.379658962,0.581,0.116,0
Pkib,0.371715463,0.574,0.15,0
Plk3,0.36435086,0.738,0.697,0
Mcl1,0.361949919,0.634,0.485,0
Lpin1,0.361568163,0.613,0.37,0
Atp2b1,0.360352073,0.628,0.395,0
Anxa8,0.360200505,0.486,0.158,0
Tnf,0.356295471,0.518,0.213,0
Rnf125,0.338412413,0.467,0.248,0
Anpep,0.335807839,0.501,0.401,0
Klk11,0.303789725,0.636,0.113,0
Ly6e,0.30188317,0.99,0.95,0
Chst1,0.296692849,0.586,0.231,0
Arl4d,0.286877774,0.673,0.54,0
Slc25a25,0.280192389,0.645,0.553,0
Dusp14,0.268863837,0.561,0.435,0
Sox10,0.265765214,0.448,0.208,0
Agt,0.262394227,0.503,0.107,0
Xdh,0.255189616,0.394,0.118,0
Hilpda,0.568420587,0.625,0.545,1.7847E-300
Pdzk1ip1,0.283888418,0.5,0.295,3.9877E-296
Gas6,0.253238818,0.76,0.588,6.2316E-296
Srxn1,0.29865919,0.548,0.417,1.3747E-294
Maff,0.272799349,0.882,0.796,7.5067E-291
Lypd3,0.683063209,0.616,0.579,1.6574E-289
Ppp2ca,0.306201212,0.629,0.498,4.7354E-283
Ier2,0.437376903,0.946,0.917,6.6559E-277
Nus1,0.321428449,0.52,0.383,5.5383E-274
Sat1,0.336018455,0.781,0.673,6.5151E-274
Cytip,0.4000239,0.435,0.194,9.9382E-274
Cldn4,0.298776764,0.798,0.725,7.8984E-273
Egln3,0.270793971,0.443,0.278,2.0329E-265
Hbegf,0.627172105,0.615,0.564,3.4613E-264
Pim1,0.296976349,0.471,0.31,5.2883E-262
Mat2a,0.291873845,0.785,0.711,1.3226E-246
Reep5,0.278539145,0.795,0.722,4.3325E-245
Tacstd2,0.379333119,0.666,0.545,8.5919E-243
Arl4a,0.434805616,0.592,0.531,8.2542E-236
Slc15a2,0.455069995,0.554,0.54,1.2725E-233
Anxa2,0.299936825,0.918,0.876,3.5554E-218
